year,month,day,경락일,도매시장,품목,세부품목,거래단량,거래량,규격,등급,가격
2016,4,26,20160426,부산반여도매,복분자,복분자(일반),1.0,1,kg,특,10000
2016,4,27,20160427,부산반여도매,복분자,복분자(일반),1.0,1,kg,특,9000
2016,4,29,20160429,부산반여도매,복분자,복분자(일반),1.0,3,kg,특,10200
2016,5,2,20160502,부산반여도매,복분자,복분자(일반),1.0,10,kg,특,11500
2016,5,4,20160504,부산반여도매,복분자,복분자(일반),1.0,10,kg,특,11700
2016,5,7,20160507,부산반여도매,복분자,복분자(일반),1.0,8,kg,특,9300
2016,5,9,20160509,부산반여도매,복분자,복분자(일반),1.0,10,kg,특,10000
2016,5,9,20160509,진주도매시장,복분자,복분자(일반),1.0,1,kg,특,10000
2016,5,10,20160510,부산반여도매,복분자,복분자(일반),1.0,12,kg,특,8000
2016,5,11,20160511,부산반여도매,복분자,복분자(일반),1.0,8,kg,특,6000
2016,5,11,20160511,창원내서도매시장,복분자,복분자(일반),1.0,2,kg,특,8500
2016,5,13,20160513,창원내서도매시장,복분자,복분자(일반),1.0,5,kg,특,6100
2016,5,13,20160513,부산반여도매,복분자,복분자(일반),1.0,11,kg,특,5000
2016,5,14,20160514,부산엄궁도매,복분자,복분자(일반),1.0,2,kg,보통,10200
2016,5,16,20160516,진주도매시장,복분자,복분자(일반),1.0,10,kg,특,10000
2016,5,17,20160517,진주도매시장,복분자,복분자(일반),1.0,10,kg,특,10000
2016,5,18,20160518,진주도매시장,복분자,복분자(일반),1.0,9,kg,특,10000
2016,5,19,20160519,진주도매시장,복분자,복분자(일반),1.0,7,kg,특,8800
2016,5,21,20160521,진주도매시장,복분자,복분자(일반),1.0,22,kg,특,8500
2016,5,21,20160521,부산엄궁도매,복분자,복분자(일반),0.5,40,kg,특,6500
2016,5,23,20160523,부산엄궁도매,복분자,복분자(일반),0.5,40,kg,보통,3500
2016,5,23,20160523,부산엄궁도매,복분자,복분자(일반),0.5,30,kg,보통,3500
2016,5,23,20160523,부산엄궁도매,복분자,복분자(일반),0.5,30,kg,보통,3500
2016,5,23,20160523,부산엄궁도매,복분자,복분자(일반),0.5,35,kg,특,3000
2016,5,23,20160523,부산엄궁도매,복분자,복분자(일반),1.0,38,kg,특,12000
2016,5,24,20160524,부산엄궁도매,복분자,복분자(일반),0.5,45,kg,보통,3000
2016,5,24,20160524,부산엄궁도매,복분자,복분자(일반),0.5,50,kg,보통,3000
2016,5,25,20160525,부산반여도매,복분자,복분자(일반),0.5,40,kg,특,1700
2016,5,25,20160525,부산엄궁도매,복분자,복분자(일반),1.0,60,kg,특,11500
2016,5,27,20160527,구미도매시장,복분자,복분자(일반),1.0,35,kg,특,11200
2016,5,27,20160527,부산엄궁도매,복분자,복분자(일반),1.0,20,kg,보통,8900
2016,5,27,20160527,부산엄궁도매,복분자,복분자(일반),0.5,50,kg,보통,4000
2016,5,27,20160527,부산엄궁도매,복분자,복분자(일반),0.5,50,kg,보통,4000
2016,5,27,20160527,부산엄궁도매,복분자,복분자(일반),0.5,70,kg,특,6600
2016,5,27,20160527,부산엄궁도매,복분자,복분자(일반),1.0,60,kg,특,11600
2016,5,27,20160527,구미도매시장,복분자,복분자(일반),1.0,35,kg,특,11300
2016,5,28,20160528,부산엄궁도매,복분자,복분자(일반),0.5,100,kg,특,4300
2016,5,28,20160528,부산엄궁도매,복분자,복분자(일반),1.0,38,kg,특,10200
2016,5,28,20160528,창원팔용도매시장,복분자,복분자(일반),0.5,25,kg,특,4500
2016,5,28,20160528,창원팔용도매시장,복분자,복분자(일반),0.5,20,kg,특,4600
2016,5,28,20160528,창원팔용도매시장,복분자,복분자(일반),0.5,20,kg,특,4500
2016,5,28,20160528,창원팔용도매시장,복분자,복분자(일반),0.5,20,kg,특,4400
